ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2025,12,CEREAIS,0.0,8e-06,SC,LBR,Libéria
2025,2,CEREAIS,1e-05,2.7e-05,SP,SGP,Cingapura
2025,4,BEBIDAS,0.001301,0.00372,MG,GBR,Reino Unido
2025,12,FRUTAS,5e-06,5.7e-05,RJ,PRT,Portugal
2025,8,BEBIDAS,0.043608,0.01944,RS,URY,Uruguai
2025,1,POLEAG,1e-06,1.1e-05,AL,VCT,São Vicente e Granadinas
2025,5,PFLOREST,0.000792,0.001024,PR,IDN,Indonésia
2025,10,FRUTAS,3e-05,5.5e-05,ES,CHN,China
2025,6,PADIVER,0.003,0.02592,SP,ARG,Argentina
2025,2,CAR_BOV,0.050922,0.161393,PA,HKG,Hong Kong
2025,8,FRUTAS,4e-05,0.000151,RJ,GIB,Gibraltar
2025,3,FRUTAS,1e-05,6.9e-05,RJ,LBR,Libéria
2025,6,FIBRAS,0.000295,0.00735,MG,PRY,Paraguai
2025,7,PFLOREST,0.152311,0.112932,MG,ARG,Argentina
2025,7,FRUTAS,0.00099,0.002459,SP,PAN,Panamá
2025,11,CSUCRO,2e-05,2.2e-05,RJ,MHL,"Marshall, Ilhas"
2025,10,LACTEOS,4.8e-05,0.00013,MA,MHL,"Marshall, Ilhas"
2025,2,FIBRAS,0.750281,1.146269,MT,CHN,China
2025,6,PHORTIC,0.000303,0.000737,SP,PAN,Panamá
2025,6,CSOJA,2.5,0.825,GO,GBR,Reino Unido
2025,6,FRUTAS,0.0005,0.01575,PA,PRT,Portugal
2025,7,PHORTIC,4e-06,1.8e-05,RS,CHN,China
2025,12,PESCADOS,0.000104,0.0005,RJ,SGP,Cingapura
2025,2,FRUTAS,4.3e-05,7.9e-05,PA,HKG,Hong Kong
2025,10,FIBRAS,0.001173,0.037658,SC,PRY,Paraguai
2025,10,PHORTIC,0.277422,0.275299,MG,ARE,Emirados Árabes Unidos
2025,2,FRUTAS,2e-05,4.9e-05,MA,HKG,Hong Kong
2025,3,FRUTAS,7.2e-05,5.9e-05,RJ,GRC,Grécia
2025,3,PHORTIC,2.9e-05,0.000153,SP,MHL,"Marshall, Ilhas"
2025,10,PADIVER,1e-06,1e-05,BA,MHL,"Marshall, Ilhas"
2025,2,CACAU,6e-06,3.1e-05,RJ,CHN,China
2025,10,FRUTAS,1e-06,2.8e-05,PE,HKG,Hong Kong
2025,8,CAR_BOV,0.000964,0.004331,SP,SAU,Arábia Saudita
2025,12,PESCADOS,2e-05,0.000205,RJ,BEL,Bélgica
2025,8,POLEAG,2e-06,6.7e-05,ES,SGP,Cingapura
2025,11,CACAU,0.000602,0.004506,MG,AUS,Austrália
2025,12,PADIVER,0.008704,0.07201,RJ,FRA,França
2025,9,PHORTIC,4e-06,1.7e-05,SC,PHL,Filipinas
2025,1,PESCADOS,6e-06,0.000125,ES,PAN,Panamá
2025,9,FRUTAS,0.000175,0.000292,ES,BHS,Bahamas
2025,12,FRUTAS,4.5e-05,5.8e-05,SP,BRB,Barbados
2025,12,CEREAIS,2e-06,1.2e-05,MA,MLT,Malta
2025,11,CAR_FRA,7e-06,5.3e-05,ES,HKG,Hong Kong
2025,11,FRUTAS,2e-06,8.8e-05,RJ,NOR,Noruega
2025,10,OPORVEG,4e-06,3.4e-05,MA,MHL,"Marshall, Ilhas"
2025,5,CSUCRO,15.386667,6.74114,PR,SOM,Somália
2025,2,CAR_SUI,0.129124,0.077054,SC,LBR,Libéria
2025,5,FRUTAS,3e-05,7.7e-05,SC,MHL,"Marshall, Ilhas"
2025,11,PFLOREST,0.138351,0.264688,PA,USA,Estados Unidos
2025,11,PHORTIC,3.6e-05,0.000257,MA,GRC,Grécia
2025,6,FRUTAS,0.000167,0.000526,SC,LBR,Libéria
2025,6,BEBIDAS,0.001859,0.000446,PR,MHL,"Marshall, Ilhas"
2025,5,PHORTIC,2.1e-05,3.5e-05,CE,PRT,Portugal
2025,12,CAFE,0.0096,0.0744,SP,URY,Uruguai
2025,7,FIBRAS,0.0,4e-06,SC,URY,Uruguai
2025,3,FRUTAS,2e-05,1.3e-05,PR,CHN,China
2025,2,FIBRAS,0.000133,0.003275,SC,PRY,Paraguai
2025,12,PHORTIC,0.000616,0.000555,PR,MHL,"Marshall, Ilhas"
2025,3,CAR_BOV,0.986261,5.688171,PA,ISR,Israel
2025,9,PHORTIC,4.2e-05,8.7e-05,SC,LBR,Libéria
2025,5,LACTEOS,2e-06,8.3e-05,PR,LBR,Libéria
2025,1,FRUTAS,0.275664,0.557616,BA,USA,Estados Unidos
2025,5,FIBRAS,0.00025,0.000392,PR,PAN,Panamá
2025,5,OPORANI,2.288,0.846051,RS,IDN,Indonésia
2025,3,CAR_BOV,0.023389,0.121725,GO,SGP,Cingapura
2025,11,CAR_BOV,0.000427,0.000891,PR,MHL,"Marshall, Ilhas"
2025,4,FRUTAS,0.000507,0.000678,MA,MHL,"Marshall, Ilhas"
2025,4,CEREAIS,2.5e-05,0.000152,SP,MHL,"Marshall, Ilhas"
2025,5,PFLOREST,0.00366,0.012635,PR,PRY,Paraguai
2025,4,PADIVER,0.000246,0.00975,SP,USA,Estados Unidos
2025,1,CAR_BOV,0.02776,0.029174,GO,CIV,Costa do Marfim
2025,6,CAR_FRA,1e-05,1e-05,PR,PAN,Panamá
2025,8,BEBIDAS,0.000454,0.001228,RJ,FRA,França
2025,9,CEREAIS,0.042702,0.181693,SP,PER,Peru
2025,9,POLEAG,1e-06,1.1e-05,BA,SGP,Cingapura
2025,5,PHORTIC,0.001178,0.002876,SP,LBR,Libéria
2025,7,CSUCRO,14.461319,5.762601,GO,CHN,China
2025,3,CEREAIS,4e-06,2.4e-05,CE,NOR,Noruega
2025,2,CAFE,0.0684,0.391021,MG,HKG,Hong Kong
2025,5,FIBRAS,0.000932,0.024751,SC,ECU,Equador
2025,8,CACAU,1e-06,0.000163,RJ,SGP,Cingapura
2025,6,FRUTAS,8e-06,0.000108,SP,MLT,Malta
2025,9,CSUCRO,0.961155,0.7272,SP,CAN,Canadá
2025,10,CACAU,3.4e-05,0.00024,PR,MLT,Malta
2025,12,FIBRAS,0.0,4e-05,SC,AGO,Angola
2025,9,PHORTIC,0.594608,0.434109,PR,CUB,Cuba
