ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2026,7,CAR_BOV,0.064496,0.409488,PA,HKG,Hong Kong
2026,2,PHORTIC,6e-06,7.3e-05,SP,MHL,"Marshall, Ilhas"
2026,5,CHAMATE,0.177358,1.064569,ES,TUR,Turquia
2026,3,PADIVER,3e-06,2.2e-05,AL,BHS,Bahamas
2026,4,PHORTIC,3e-06,1.1e-05,SC,CYM,"Cayman, Ilhas"
2026,4,PHORTIC,9.3e-05,0.000248,SP,MHL,"Marshall, Ilhas"
2026,5,PFLOREST,0.240873,0.190233,SP,ZAF,África do Sul
2026,4,LACTEOS,7.3e-05,0.000349,ES,LBR,Libéria
2026,6,PHORTIC,0.01315,0.017429,PR,JPN,Japão
2026,1,CAR_OUT,0.052545,0.074571,RS,GHA,Gana
2026,4,FRUTAS,0.002171,0.001613,SP,PAN,Panamá
2026,6,OPORVEG,1e-06,5.5e-05,SP,ITA,Itália
2026,4,CHAMATE,2e-06,2.1e-05,ES,MHL,"Marshall, Ilhas"
2026,7,CAR_BOV,0.136941,0.168483,MT,IDN,Indonésia
2026,7,LACTEOS,0.000144,0.000301,PA,MLT,Malta
2026,1,CAR_SUI,0.014448,0.006033,MT,LBR,Libéria
2026,7,CAR_FRA,0.132602,0.327882,SC,GBR,Reino Unido
2026,2,CAR_BOV,4e-05,0.000229,MA,LBR,Libéria
2026,5,CSOJA,143.577233,58.554634,PI,CHN,China
2026,7,FRUTAS,0.000253,0.000472,SP,PRT,Portugal
2026,6,CAR_SUI,1e-06,8e-06,AL,BHS,Bahamas
2026,2,COUROS,0.004463,0.056863,BA,CHN,China
2026,2,CSUCRO,8e-05,0.000217,RJ,BHS,Bahamas
2026,5,PFLOREST,4e-06,0.000136,SP,SLV,El Salvador
2026,3,PESCADOS,8.5e-05,0.000372,MA,LBR,Libéria
2026,5,PFLOREST,0.008005,0.00976,SP,CHL,Chile
2026,8,PFLOREST,0.018418,0.008059,SP,PAN,Panamá
2026,6,FRUTAS,9.5e-05,0.000201,RS,HKG,Hong Kong
2026,7,COUROS,1e-06,6.5e-05,SP,TUR,Turquia
2026,1,PESCADOS,3.9e-05,0.000435,SP,LBR,Libéria
2026,4,FIBRAS,8.5e-05,0.007409,SP,USA,Estados Unidos
2026,8,BEBIDAS,0.000189,0.000345,SC,LBR,Libéria
2026,6,PHORTIC,2e-06,5.8e-05,SP,PAN,Panamá
2026,1,CHAMATE,3.2e-05,7.8e-05,ES,BHS,Bahamas
2026,3,POLEAG,0.001514,0.020668,AL,URY,Uruguai
2026,8,CAFE,0.384,2.452039,MG,FRA,França
2026,7,FIBRAS,9.2e-05,0.002675,SC,BOL,Bolívia
2026,5,CAR_BOV,0.125285,0.38156,TO,HKG,Hong Kong
2026,7,PESCADOS,3.1e-05,0.000235,ES,MHL,"Marshall, Ilhas"
2026,5,FRUTAS,3e-05,0.000101,SP,SGP,Cingapura
2026,6,FIBRAS,0.024101,0.115983,RN,NLD,Países Baixos (Holanda)
2026,2,PFLOREST,0.448015,0.525965,RS,ECU,Equador
2026,5,CAR_BOV,0.006659,0.044792,GO,TUR,Turquia
2026,4,CAR_SUI,5.3e-05,0.000317,RJ,GRC,Grécia
2026,6,PHORTIC,0.0002,0.000226,BA,CHN,China
2026,8,POLEAG,2e-06,3.5e-05,ES,BHS,Bahamas
2026,2,FIBRAS,5e-06,0.000217,SC,PRY,Paraguai
2026,5,PESCADOS,2e-05,0.00024,AM,MHL,"Marshall, Ilhas"
2026,2,PHORTIC,8.5e-05,0.000282,MA,CYP,Chipre
2026,4,PHORTIC,2.7e-05,0.000114,RS,SGP,Cingapura
2026,8,PESCADOS,1.4e-05,0.000263,SP,THA,Tailândia
2026,8,PHORTIC,4.8e-05,0.000169,SP,PAN,Panamá
2026,6,PHORTIC,2e-06,4.1e-05,SC,HKG,Hong Kong
2026,1,CAR_OUT,0.053986,0.062446,DF,TON,Tonga
2026,8,CAR_FRA,0.577884,1.683234,RS,NLD,Países Baixos (Holanda)
2026,3,PHORTIC,4.5e-05,8.4e-05,CE,MLT,Malta
2026,6,POLEAG,1e-05,0.000121,MA,TUR,Turquia
2026,3,PHORTIC,4e-05,4.8e-05,BA,HKG,Hong Kong
2026,7,PORNAM,8e-06,0.000392,SP,USA,Estados Unidos
2026,2,CEREAIS,1.2e-05,2.6e-05,PR,BHS,Bahamas
2026,3,CSOJA,6.792744,2.649306,TO,NLD,Países Baixos (Holanda)
2026,4,PFLOREST,0.0,1e-06,ND,USA,Estados Unidos
2026,3,PADIVER,0.000647,0.002353,SP,NLD,Países Baixos (Holanda)
2026,4,PFLOREST,0.518763,0.428183,PR,ARG,Argentina
2026,3,FRUTAS,2e-05,3.8e-05,ES,THA,Tailândia
2026,4,PADIVER,0.0,3e-06,SP,NOR,Noruega
2026,8,CEREAIS,18.58,4.041336,ND,SLV,El Salvador
2026,3,PHORTIC,0.00013,0.00033,ES,BHS,Bahamas
2026,3,FRUTAS,2e-06,4.8e-05,RJ,ARG,Argentina
2026,6,PADIVER,4e-06,4.6e-05,SC,GRC,Grécia
